Data czas,Energia,T zewn.,V wiatr,Wilg.,Zachm,Dlug. dnia,Typ dnia,Pora roku
2016.01.01 01:00:00,3754.885,-3.8,4,65,8,7.433,5,4
2016.01.01 02:00:00,3638.4890000000023,-3.6,4,65,8,7.433,5,4
2016.01.01 03:00:00,3687.321,-3.5,3,64,8,7.433,5,4
2016.01.01 04:00:00,3800.669999999998,-3.5,4,65,8,7.433,5,4
2016.01.01 05:00:00,4010.589,-3.5,4,65,8,7.433,5,4
2016.01.01 06:00:00,3718.593,-3.3,3,66,8,7.433,5,4
2016.01.01 07:00:00,4023.682000000001,-3.4,3,70,8,7.433,5,4
2016.01.01 08:00:00,3991.7939999999994,-3.7,3,83,8,7.433,5,4
2016.01.01 09:00:00,4168.391000000002,-3.8,2,89,8,7.433,5,4
2016.01.01 10:00:00,4172.762000000001,-3.3,2,92,8,7.433,5,4
2016.01.01 11:00:00,4248.7710000000025,-3.2,2,92,8,7.433,5,4
2016.01.01 12:00:00,4236.314,-2.8,3,90,8,7.433,5,4
2016.01.01 13:00:00,4093.4240000000004,-2.8,3,89,8,7.433,5,4
2016.01.01 14:00:00,4044.925999999999,-2.7,3,90,8,7.433,5,4
2016.01.01 15:00:00,4133.168,-2.8,2,91,8,7.433,5,4
2016.01.01 16:00:00,3734.647999999999,-3.4,3,89,8,7.433,5,4
2016.01.01 17:00:00,4626.056999999999,-3.6,3,87,8,7.433,5,4
2016.01.01 18:00:00,4435.1669999999995,-3.5,5,82,8,7.433,5,4
2016.01.01 19:00:00,4180.0289999999995,-3.4,4,77,8,7.433,5,4
2016.01.01 20:00:00,4464.432999999998,-3.6,3,75,8,7.433,5,4
2016.01.01 21:00:00,4353.994999999998,-4.2,4,72,8,7.433,5,4
2016.01.01 22:00:00,4215.985000000001,-5.8,4,73,0,7.433,5,4
2016.01.01 23:00:00,3771.9609999999984,-7.7,4,76,0,7.433,5,4
2016.01.02 00:00:00,4516.191999999998,-8.5,4,78,0,7.483,3,4
2016.01.02 01:00:00,3763.734999999999,-9.0,4,79,0,7.483,3,4
2016.01.02 02:00:00,4268.529999999999,-9.5,4,81,0,7.483,3,4
2016.01.02 03:00:00,4140.611999999999,-9.9,5,81,0,7.483,3,4
2016.01.02 04:00:00,4224.055000000002,-10.6,4,82,0,7.483,3,4
2016.01.02 05:00:00,4462.042999999998,-10.6,4,81,0,7.483,3,4
2016.01.02 06:00:00,4423.714000000001,-10.4,5,78,0,7.483,3,4
2016.01.02 07:00:00,4445.652999999999,-10.4,4,76,0,7.483,3,4
2016.01.02 08:00:00,4806.012,-10.0,4,76,7,7.483,3,4
2016.01.02 09:00:00,4975.127000000001,-9.1,4,72,7,7.483,3,4
2016.01.02 10:00:00,4916.558000000002,-8.6,6,68,7,7.483,3,4
2016.01.02 11:00:00,4892.394000000001,-8.3,6,67,6,7.483,3,4
2016.01.02 12:00:00,4891.218999999999,-7.9,6,64,4,7.483,3,4
2016.01.02 13:00:00,4778.307000000003,-7.4,5,61,1,7.483,3,4
2016.01.02 14:00:00,4818.047,-7.3,5,60,1,7.483,3,4
2016.01.02 15:00:00,4875.1990000000005,-7.7,5,62,1,7.483,3,4
2016.01.02 16:00:00,4896.059999999999,-8.3,4,63,0,7.483,3,4
2016.01.02 17:00:00,4839.891,-8.9,4,60,0,7.483,3,4
2016.01.02 18:00:00,5088.010000000002,-9.4,4,61,0,7.483,3,4
2016.01.02 19:00:00,4680.097999999999,-9.8,4,64,0,7.483,3,4
2016.01.02 20:00:00,5426.228999999998,-10.2,3,66,0,7.483,3,4
2016.01.02 21:00:00,5078.796000000001,-10.5,4,67,0,7.483,3,4
2016.01.02 22:00:00,4788.968999999999,-10.8,4,67,0,7.483,3,4
2016.01.02 23:00:00,4780.789999999997,-11.1,4,68,0,7.483,3,4
2016.01.03 00:00:00,4895.352000000001,-11.4,3,69,0,7.5,4,4
2016.01.03 01:00:00,4356.289999999998,-11.8,3,71,0,7.5,4,4
2016.01.03 02:00:00,4776.812000000003,-12.1,4,72,0,7.5,4,4
2016.01.03 03:00:00,4618.091000000003,-12.3,4,73,0,7.5,4,4
2016.01.03 04:00:00,4989.052999999997,-12.6,3,75,0,7.5,4,4
2016.01.03 05:00:00,4875.863000000002,-12.8,4,75,0,7.5,4,4
2016.01.03 06:00:00,4898.857999999999,-13.1,3,75,0,7.5,4,4
2016.01.03 07:00:00,4962.665,-13.3,4,76,0,7.5,4,4
2016.01.03 08:00:00,5005.495,-13.1,4,75,0,7.5,4,4
2016.01.03 09:00:00,5383.622,-12.2,4,69,0,7.5,4,4
2016.01.03 10:00:00,5229.267000000002,-10.9,4,65,0,7.5,4,4
2016.01.03 11:00:00,5308.473,-9.4,4,59,0,7.5,4,4
2016.01.03 12:00:00,5237.0390000000025,-8.7,5,57,0,7.5,4,4
2016.01.03 13:00:00,5170.015000000001,-8.3,5,55,0,7.5,4,4
2016.01.03 14:00:00,5131.828000000002,-8.4,4,55,0,7.5,4,4
2016.01.03 15:00:00,5290.015,-9.1,3,59,1,7.5,4,4
2016.01.03 16:00:00,5361.151999999999,-9.9,2,64,0,7.5,4,4
2016.01.03 17:00:00,5299.490999999995,-10.4,4,66,0,7.5,4,4
2016.01.03 18:00:00,5379.525000000001,-10.9,4,69,0,7.5,4,4
2016.01.03 19:00:00,5396.523000000001,-11.0,4,70,0,7.5,4,4
2016.01.03 20:00:00,5509.344,-11.3,4,72,0,7.5,4,4
2016.01.03 21:00:00,5403.584,-11.6,4,73,0,7.5,4,4
2016.01.03 22:00:00,5301.191999999999,-11.9,3,74,0,7.5,4,4
2016.01.03 23:00:00,5182.567000000003,-12.3,3,75,0,7.5,4,4
2016.01.04 00:00:00,4779.653999999999,-12.6,4,77,0,7.517,1,4
2016.01.04 01:00:00,4748.229000000001,-12.9,4,78,0,7.517,1,4
2016.01.04 02:00:00,4746.089999999997,-13.2,4,78,0,7.517,1,4
2016.01.04 03:00:00,4870.924000000002,-13.1,5,76,0,7.517,1,4
2016.01.04 04:00:00,5178.050000000001,-13.0,5,74,0,7.517,1,4
2016.01.04 05:00:00,5201.457999999998,-12.8,4,71,0,7.517,1,4
2016.01.04 06:00:00,5225.187,-12.6,4,67,0,7.517,1,4
2016.01.04 07:00:00,5375.769000000001,-12.4,3,64,0,7.517,1,4
2016.01.04 08:00:00,5448.973999999998,-11.6,4,59,0,7.517,1,4
2016.01.04 09:00:00,5376.6100000000015,-9.6,5,47,0,7.517,1,4
2016.01.04 10:00:00,5284.738,-7.7,5,41,0,7.517,1,4
2016.01.04 11:00:00,5105.468,-6.8,4,39,0,7.517,1,4
2016.01.04 12:00:00,5202.6630000000005,-6.1,4,37,0,7.517,1,4
2016.01.04 13:00:00,4902.225000000002,-5.7,4,35,0,7.517,1,4
2016.01.04 14:00:00,4838.53,-6.0,4,35,0,7.517,1,4
2016.01.04 15:00:00,5286.804999999999,-6.9,3,39,0,7.517,1,4
2016.01.04 16:00:00,5440.234000000001,-7.5,4,40,0,7.517,1,4
2016.01.04 17:00:00,5428.817000000003,-8.1,4,41,0,7.517,1,4
2016.01.04 18:00:00,5430.8189999999995,-8.8,3,45,0,7.517,1,4
2016.01.04 19:00:00,5547.272,-9.1,3,48,0,7.517,1,4
2016.01.04 20:00:00,5666.523,-9.6,3,52,0,7.517,1,4
2016.01.04 21:00:00,5595.769000000003,-10.1,3,57,0,7.517,1,4
2016.01.04 22:00:00,5483.065,-10.5,2,60,0,7.517,1,4
2016.01.04 23:00:00,5411.921000000004,-11.1,2,63,0,7.517,1,4
2016.01.05 00:00:00,5081.123000000001,-11.5,2,65,0,7.55,1,4
2016.01.05 01:00:00,4994.125000000001,-12.1,1,67,0,7.55,1,4
2016.01.05 02:00:00,5028.957,-12.5,1,69,0,7.55,1,4
2016.01.05 03:00:00,5111.406000000001,-12.3,2,68,0,7.55,1,4
2016.01.05 04:00:00,5561.955,-12.5,2,69,0,7.55,1,4
2016.01.05 05:00:00,5539.612999999998,-13.1,3,72,0,7.55,1,4
2016.01.05 06:00:00,5597.568999999998,-13.3,2,74,0,7.55,1,4
2016.01.05 07:00:00,5640.556,-13.2,2,74,0,7.55,1,4
2016.01.05 08:00:00,5717.619,-12.3,2,70,2,7.55,1,4
2016.01.05 09:00:00,5646.3129999999965,-11.0,4,66,5,7.55,1,4
2016.01.05 10:00:00,5569.636999999997,-9.5,4,62,5,7.55,1,4
2016.01.05 11:00:00,5420.505000000001,-8.3,3,54,4,7.55,1,4
2016.01.05 12:00:00,5342.253,-7.1,2,50,4,7.55,1,4
